track_id,track_name,duration_ms,popularity,explicit,key,mode,tempo,time_signature,preview_url,artist_genres
2LJFyZegquP5reY4Qi0egR,Last Step,456774,30,False,,,,,,"techno, acid techno, minimal techno"
2mj0Vf7UepRY8x2YzqtOME,Processed Beats,187800,45,False,,,,,,"britpop, indie, indie rock"
6oRT5OFlHDLyJtVcZaaq4X,Paulus,375523,0,False,,,,,,"techno, acid techno"
4QNKvO4ojKESGaIjUNfoYc,Fallin - Trance Wax Remix,441904,17,False,,,,,,"melodic techno, melodic house, techno, melodic house, trance, progressive trance"
5sscqexUMirZUKd4ymckzh,Parametric,349107,0,False,,,,,,"hard techno, acid techno, hard house, techno"
5noQJkpVfHt2D4df2GXieV,The Reeling,287906,53,False,,,,,,indie
5wJl7KkluLHi8zjxKTNdsQ,Excessus,332562,16,False,,,,,,"acid techno, hard techno, techno"
6zQDoXDuByCvjj6YkSJ5WU,Wait For You - Original Mix,388124,0,False,,,,,,"big room, progressive house, edm, electro house, tech house, house"
2NeSirLM2VHQW4upn0nMfB,Starry Night - Edit,233978,2,False,,,,,,
1PvYqxVaUdpsytouzTaaoP,Loveweights,224400,0,False,,,,,,
5F84K2ltGbHKMYbmujjt8W,Thinking About You ft Juliet Fox - Original Mix,402904,0,False,,,,,,"techno, acid techno, minimal techno, techno, acid techno, hard techno"
13qqdlSeF8FcxsRyapDMZ0,Changes,345173,2,False,,,,,,"tropical house, afro house"
03h4TbEghDuv08z0z0KJyt,Positive Tension,235440,0,False,,,,,,indie rock
3McVJ4pdwNMP4RJtsJAogG,Always On The Run,223560,34,True,,,,,,"nu disco, french house, french indie pop, disco house, funky house, indie dance"
0dsG05fycoumsH752gtg70,Rave On,456923,15,False,,,,,,"acid techno, techno, hard techno, tekno"
7rlBzRoOYEe9ByCOiv2vs9,Hypnotized - Original Version,340560,0,False,,,,,,
3yaDNeqM3G90HME2y6noL7,Wounds,215973,0,False,,,,,,"soft pop, electropop"
6kTogriKXtpofye9hvQ91U,Destiny,338052,0,False,,,,,,"hard techno, techno, acid techno, hardcore techno, tekno"
1HIalwjo1TQVaB63BXbkQu,Toro (I Hate Models Speed Up Revival Edit of Andre VII RMX),371801,1,True,,,,,,"techno, hard techno, acid techno, tekno, hard techno, techno"
0sUyqewVzwv0e5tK3hS6vJ,Don't Be so Hard on Yourself,211460,57,False,,,,,,
7eLFbEviNFKMmiRFLXuN7B,Omnia,286124,0,False,,,,,,"melodic techno, melodic house, techno, stutter house"
7nSWCkjufj2nFjVPdAyNRh,French Lesson,148384,9,False,,,,,,"jazz house, lo-fi house"
0qImpiFeovSF3tDfl3jiFG,Dream Bigger - Instrumental,242160,21,False,,,,,,"edm, edm"
79grw34DPX7iCvVUfBPB9S,All Of It,331609,51,False,,,,,,"hard house, techno, phonk, hard techno"
4t9ILPlcJkgk7tGnLNDsZE,Northern Soul - Ben Böhmer Remix,267519,28,False,,,,,,"trance, progressive trance, progressive house, trance, progressive trance, melodic house, melodic techno, progressive house, deep house"
3GehDReyP4wkozHESnPcpT,Holy Gucci - Clair Remix,369570,8,False,,,,,,"hard techno, techno, acid techno, tekno, acid techno, hard techno, techno, tekno"
3wET4fyXZfhxaz2Nv731bQ,Tiptoe,355304,0,False,,,,,,
